id,locationID,assigneeID,openDate,closeDate,status,title,additionalInfo,priority,requestDate,patientID,food
1,1,,2022-02-15,,1,titel,I need sanitatrion,1,2015-03-31,1,potatoes
2,2,,2022-02-15,,0,titel,I need sanitatrion,0,2015-03-31,2,potatoes
3,2,,2022-02-15,,3,titel,update to readCSV into DB,3,2015-03-31,3,pizza
4,1,,2022-02-15,,1,titel,I need sanitatrion,1,2015-03-31,1,potatoes
5,2,,2022-02-15,,0,titel,I need sanitatrion,0,2015-03-31,2,potatoes
6,2,,2022-02-15,,3,titel,I need sanitatrion,3,2015-03-31,3,pizza
7,1,,2022-02-15,,1,titel,I need sanitatrion,1,2015-03-31,1,potatoes
8,2,,2022-02-15,,0,titel,I need sanitatrion,0,2015-03-31,2,potatoes
9,2,,2022-02-15,,3,titel,update to readCSV into DB,3,2015-03-31,3,pizza
10,1,,2022-02-15,,1,titel,I need sanitatrion,1,2015-03-31,1,potatoes
11,2,,2022-02-15,,0,titel,I need sanitatrion,0,2015-03-31,2,potatoes
12,2,,2022-02-15,,3,titel,I need sanitatrion,3,2015-03-31,3,pizza
13,1,,2022-02-15,,1,titel,I need sanitatrion,1,2015-03-31,1,potatoes
14,2,,2022-02-15,,0,titel,I need sanitatrion,0,2015-03-31,2,potatoes
15,2,,2022-02-15,,3,titel,update to readCSV into DB,3,2015-03-31,3,pizza
16,1,,2022-02-15,,1,titel,I need sanitatrion,1,2015-03-31,1,potatoes
17,2,,2022-02-15,,0,titel,I need sanitatrion,0,2015-03-31,2,potatoes
18,2,,2022-02-15,,3,titel,I need sanitatrion,3,2015-03-31,3,pizza
19,1,,2022-02-15,,1,titel,I need sanitatrion,1,2015-03-31,1,potatoes
20,2,,2022-02-15,,0,titel,I need sanitatrion,0,2015-03-31,2,potatoes
21,2,,2022-02-15,,3,titel,update to readCSV into DB,3,2015-03-31,3,pizza
22,1,,2022-02-15,,1,titel,I need sanitatrion,1,2015-03-31,1,potatoes
23,2,,2022-02-15,,0,titel,I need sanitatrion,0,2015-03-31,2,potatoes
24,2,,2022-02-15,,3,titel,I need sanitatrion,3,2015-03-31,3,pizza
